iter	RMSE
0	106633057.9
1	103805363.8
2	101318194.9
3	98902512.11
4	96629614.34
5	94435028.78
6	92452209.09
7	90655491.97
8	89037764.79
9	87482225.84
10	86022258.19
11	84658571.55
12	83373360.85
13	82231477.87
14	81212603.97
15	80094049.02
16	79213595.93
17	78317630.82
18	77502745.29
19	76745841.23
20	76025125.54
21	75255020.94
22	74654605.53
23	74164137
24	73686911.65
25	73246308.54
26	72873571.14
27	72512819.98
28	72130245.78
29	71807068.75
30	71524937.65
31	71272902.43
32	71116046.32
33	70916814.1
34	70544033.43
35	70205933.38
36	70031170.7
37	69852261.22
38	69714160.83
39	69558480.56
40	69417918.11
41	69288807.65
42	69039291.53
43	68802998.92
44	68712625.96
45	68623294.44
46	68543175.08
47	68337672.46
48	68149817.41
49	67969359.5
50	67910791.75
51	67859465.71
52	67802778.18
53	67704299.86
54	67667243.28
55	67523476.7
56	67392055.97
57	67365592.24
58	67238638.05
59	67128463.5
60	67025701.78
61	66927896.63
62	66827527.44
63	66808658.85
64	66768106.68
65	66751311.74
66	66662568.57
67	66604562.19
68	66525310.29
69	66494304.05
70	66482349.93
71	66407824.61
72	66391412.83
73	66342491.53
74	66315630.74
75	66249044.99
76	66233350.69
77	66218476.14
78	66148816.74
79	66142507.16
80	66112014
81	66054658.14
82	66032027.49
83	66003856.36
84	65981964.48
85	65921877.58
86	65891183.1
87	65860103.25
88	65825090.73
89	65796869.25
90	65770897.04
91	65727092.68
92	65710856.8
93	65667073.69
94	65630651.03
95	65592697.29
96	65578604.61
97	65543525.14
98	65508719.34
99	65474884.81
100	65453596.69
101	65450458.19
102	65418265.84
103	65392718.81
104	65380676.27
105	65359263.6
106	65300685.42
107	65280703.89
108	65269394.07
109	65240363.58
110	65219415.43
111	65186831.07
112	65162529.66
113	65143268.94
114	65139509.37
115	65134124.42
116	65111779.88
117	65083733.94
118	65066909.63
119	65063261.19
120	65052682
121	65045303.35
122	65031312.53
123	65010307.69
124	64987831.01
125	64967522.56
126	64958363.73
127	64916903.59
128	64898952.27
129	64881431.21
130	64849608.59
131	64826254.49
132	64825055.5
133	64814345.89
134	64797968.66
135	64785136.73
136	64782613.23
137	64760806.3
138	64738476.11
139	64730239.09
140	64716050.21
141	64705011.09
142	64685658.43
