iter	Passed	Remaining
0	50	49997
1	53	26454
2	53	17869
3	54	13567
4	55	10981
5	55	9259
6	56	8025
7	57	7099
8	57	6378
9	58	5805
10	59	5334
11	60	4943
12	60	4608
13	61	4322
14	62	4077
15	62	3860
16	63	3667
17	64	3498
18	64	3347
19	65	3209
20	66	3084
21	66	2975
22	67	2875
23	68	2783
24	69	2696
25	69	2618
26	70	2544
27	71	2474
28	71	2396
29	72	2335
30	72	2280
31	73	2227
32	74	2177
33	75	2131
34	75	2087
35	76	2045
36	77	2005
37	77	1969
38	78	1933
39	79	1899
40	79	1868
41	80	1844
42	81	1815
43	82	1788
44	83	1762
45	87	1818
46	88	1794
47	90	1800
48	91	1776
49	92	1752
50	92	1729
51	93	1707
52	94	1685
53	95	1664
54	95	1645
55	96	1627
56	97	1609
57	98	1593
58	99	1579
59	99	1564
60	100	1549
61	101	1532
62	102	1517
63	102	1502
64	103	1488
65	104	1474
66	104	1459
67	105	1445
68	106	1432
69	106	1417
70	107	1404
71	108	1392
72	108	1380
73	109	1368
74	110	1357
75	110	1346
76	111	1335
77	112	1325
78	113	1318
79	114	1311
80	114	1299
81	115	1290
82	116	1281
83	116	1272
84	117	1263
85	118	1255
86	118	1246
87	119	1238
88	120	1230
89	120	1221
90	121	1213
91	122	1205
92	122	1198
93	123	1190
94	124	1183
95	124	1175
96	125	1168
97	126	1162
98	126	1155
99	127	1150
100	128	1145
101	129	1139
102	130	1134
103	130	1127
104	131	1122
105	132	1116
106	133	1110
107	133	1105
108	134	1099
109	135	1093
110	135	1088
111	136	1082
112	137	1076
113	137	1071
114	138	1066
115	139	1060
116	139	1055
117	140	1050
118	141	1045
119	142	1042
120	142	1038
121	143	1033
122	144	1029
123	145	1025
124	145	1020
125	146	1016
126	147	1012
127	147	1008
128	148	1004
129	149	999
130	150	995
131	150	991
132	151	987
133	152	984
134	153	981
135	153	977
136	154	974
137	155	970
138	156	966
139	156	963
140	157	959
141	158	956
142	159	953
143	159	949
144	160	945
145	161	942
146	161	939
147	162	935
148	163	932
149	163	929
150	164	925
151	165	922
152	165	918
153	166	915
154	167	912
155	168	909
156	168	905
157	169	902
158	170	899
159	170	897
160	171	894
161	172	893
162	173	891
163	174	888
164	175	886
165	175	883
166	176	881
167	177	880
168	178	877
169	179	875
170	180	872
171	180	870
172	181	867
173	182	864
174	182	861
175	183	858
176	184	856
177	184	853
178	185	850
179	186	848
180	186	845
181	187	843
182	188	841
183	189	839
184	190	837
185	190	835
186	191	833
187	192	831
188	193	828
189	193	826
190	194	823
191	195	821
192	195	818
193	196	816
194	197	813
195	197	811
196	198	809
197	199	806
198	199	804
199	200	801
200	201	799
201	201	797
202	202	795
203	203	793
204	204	792
205	205	790
206	205	788
207	206	787
208	207	785
209	208	783
210	208	781
211	209	779
212	210	776
213	210	774
214	211	772
215	212	770
216	212	768
217	213	766
218	214	764
219	214	761
220	215	759
221	216	757
222	216	755
223	217	754
224	218	752
225	219	750
226	219	749
227	220	748
228	221	746
229	222	744
230	223	742
231	223	740
232	224	739
233	225	737
234	225	735
235	226	733
236	227	731
237	227	729
238	228	727
239	229	726
240	229	724
241	230	722
242	231	720
243	231	718
