iter	RMSE
0	22770405.93
1	22218032.65
2	21709449.43
3	21219524.92
4	20768460.76
5	20361290.22
6	19986602.18
7	19646394.25
8	19330312.66
9	19018736.57
10	18746013.8
11	18493779.42
12	18267894.26
13	18043335.79
14	17846208.78
15	17676143.38
16	17507110.21
17	17356351.44
18	17214474.65
19	17082537.12
20	16966934.56
21	16858767.69
22	16763384.69
23	16669972.22
24	16583399.63
25	16507903.53
26	16432076.1
27	16365067.31
28	16313300.75
29	16261277.38
30	16211783.2
31	16169050.42
32	16127395.22
33	16092564.18
34	16060416.04
35	16026728.95
36	15997864.5
37	15975214.82
38	15950124.6
39	15925534.62
40	15907793.16
41	15889966.52
42	15869354.74
43	15855778.92
44	15838139.23
45	15824562.6
46	15814085.8
47	15802907.01
48	15790005.55
49	15781387.71
50	15771877.59
51	15764657.39
52	15756088.39
53	15742623.16
54	15736335.55
55	15728865.74
56	15724102.25
57	15713497.06
58	15706391.47
59	15702426.31
60	15698707.46
61	15688245.23
62	15682350.36
63	15679426
64	15674055.95
65	15669405.15
66	15665637.57
67	15662889.76
68	15652048.76
69	15650079.6
70	15645424.37
71	15642573.29
72	15640952.89
73	15635866.57
74	15633871.49
75	15631444.95
76	15628366.92
77	15624302.91
78	15617500.19
79	15616274.21
80	15615356.49
81	15612198.01
82	15608332.16
83	15605143.63
84	15601252.81
85	15596421.04
86	15593284.64
87	15590890.14
88	15583479.56
89	15580229.56
90	15577882.75
91	15574737.01
92	15567982.34
93	15566380.42
94	15562960.47
95	15557352.89
96	15555870.44
97	15551305.39
98	15548855.89
99	15542571.03
100	15540025.4
101	15537288.36
102	15533235.39
103	15531735.04
104	15529124.45
105	15526719.64
106	15524420.12
107	15520572.54
108	15518425.21
109	15514254.11
110	15510249.14
111	15506253.07
112	15500094.07
113	15498860.3
114	15495531.01
115	15490974.23
116	15487329.66
117	15484207.27
118	15480133.36
119	15475284.31
120	15470479.04
121	15464500.01
122	15456670.29
123	15456074.73
124	15453185.02
125	15450204.16
126	15448899.14
127	15445268.87
128	15444713.92
129	15443132.98
130	15440865.87
131	15432191.3
132	15431773.36
133	15430075.68
134	15424810.58
135	15418090.61
136	15414130.58
137	15411030.42
138	15406714.64
139	15400142.09
140	15396193.74
141	15382129.3
142	15379828.9
143	15374552.62
144	15363733.16
145	15355127.97
146	15349084.15
147	15339554.36
148	15333616.67
149	15328853.43
150	15323660.4
151	15322498.75
152	15317007.32
153	15313650.8
154	15309462.55
155	15304967.93
156	15298566.03
157	15293477
158	15290946.69
159	15287852.57
160	15284476.43
161	15278986.81
162	15274323.14
163	15270073.43
164	15262787.48
165	15254020.32
166	15249789.18
167	15244900.97
168	15239646.1
169	15234707.63
170	15224822.98
171	15220522.14
172	15214178.27
173	15208787.98
174	15200213.19
175	15194358.43
176	15190289.76
177	15185562.34
178	15179678.03
179	15173872.71
180	15170884.85
181	15167025.5
182	15163043.65
183	15156812.78
184	15154161.75
185	15151001.26
186	15146428.67
187	15137552.51
188	15126828.57
189	15122141.37
190	15118767.46
191	15113836.51
192	15107966.74
193	15102054.14
194	15097517.39
195	15093644.05
196	15091072.19
197	15087523.5
198	15080355.47
199	15077007.97
200	15070105.27
201	15065412.33
202	15062662.52
203	15059399.42
204	15057420.44
205	15054868.06
206	15054117.84
207	15047746.37
208	15042916.27
209	15042256.89
210	15038923.78
211	15027916.1
212	15025153.87
213	15014237.54
214	15004328.87
215	15001718.14
216	15001158.02
217	14990988.04
218	14988522.37
219	14986356
220	14980533.77
221	14976299.54
222	14967010.87
223	14966389.79
224	14959800.96
225	14954369.88
226	14945289.36
227	14938262.25
228	14932317.09
229	14923418.41
230	14915331.28
231	14908547.36
232	14899114.18
233	14896881.85
234	14892640
235	14886829.18
236	14882760.41
237	14880650.34
238	14877721.43
239	14875871.33
240	14873974.27
241	14873402.88
242	14872842.67
243	14869556.88
244	14861958.37
245	14856554.35
246	14851576.98
247	14842941.07
248	14841165.01
249	14840550.03
250	14838872.5
