iter	Passed	Remaining
0	48	48060
1	48	24374
2	49	16464
3	50	12512
4	51	10152
5	51	8579
6	52	7449
7	53	6597
8	53	5941
9	54	5425
10	55	4993
11	56	4631
12	57	4328
13	57	4064
14	58	3836
15	59	3635
16	59	3456
17	60	3299
18	61	3165
19	62	3039
20	62	2923
21	63	2819
22	64	2724
23	65	2643
24	65	2568
25	66	2497
26	67	2427
27	68	2370
28	68	2296
29	69	2247
30	70	2195
31	70	2146
32	71	2099
33	72	2056
34	73	2016
35	73	1976
36	74	1939
37	75	1903
38	75	1869
39	76	1838
40	79	1847
41	81	1849
42	81	1821
43	82	1793
44	85	1805
45	85	1779
46	86	1753
47	87	1728
48	87	1704
49	88	1681
50	89	1659
51	89	1638
52	90	1624
53	91	1606
54	92	1587
55	93	1569
56	93	1551
57	94	1533
58	95	1516
59	96	1505
60	96	1490
61	97	1475
62	98	1460
63	98	1445
64	99	1432
65	100	1418
66	100	1404
67	101	1392
68	102	1379
69	102	1366
70	103	1355
71	104	1344
72	104	1332
73	105	1321
74	106	1310
75	106	1300
76	107	1290
77	108	1280
78	108	1270
79	109	1261
80	110	1249
81	110	1241
82	111	1232
83	112	1223
84	112	1215
85	113	1206
86	114	1198
87	114	1190
88	115	1183
89	116	1175
90	116	1168
91	117	1160
92	118	1153
93	118	1146
94	119	1139
95	120	1132
96	120	1126
97	121	1119
98	122	1113
99	123	1107
100	123	1101
101	124	1095
102	125	1089
103	125	1083
104	126	1077
105	127	1072
106	127	1066
107	128	1061
108	129	1056
109	129	1051
110	130	1046
111	131	1041
112	132	1036
113	132	1031
114	133	1026
115	134	1021
116	134	1016
117	135	1012
118	136	1007
119	136	1003
120	137	999
121	138	994
122	138	990
123	139	986
124	140	983
125	141	979
126	142	978
127	143	974
128	144	977
129	145	974
130	146	970
131	147	966
132	147	962
133	148	959
134	149	955
135	149	951
136	150	947
137	151	944
138	151	940
139	152	937
140	153	934
141	154	931
142	154	927
143	155	924
144	156	920
145	156	917
146	158	920
147	159	917
148	159	913
149	160	910
150	161	907
151	162	903
152	162	900
153	163	897
154	164	894
155	164	891
156	165	888
157	166	884
158	166	881
159	167	879
160	168	876
161	168	873
162	169	870
163	170	867
164	170	864
165	171	861
166	172	859
167	172	856
168	173	853
169	174	850
170	174	848
171	175	845
172	176	842
173	176	840
174	177	837
175	178	834
176	178	832
177	179	829
178	180	826
179	180	824
180	181	821
181	182	819
182	182	816
183	183	814
184	184	811
185	184	809
186	185	807
187	186	804
188	186	802
189	187	799
190	188	797
191	188	795
192	189	793
193	190	790
194	190	788
195	191	786
196	192	784
197	193	782
198	193	779
199	194	777
200	195	775
201	196	774
202	197	773
203	197	771
204	198	769
205	199	769
206	200	768
207	201	766
208	202	767
209	203	765
210	204	763
211	205	762
212	206	761
213	207	760
214	207	758
215	208	757
216	209	755
217	209	753
218	210	751
219	211	749
220	211	747
221	212	745
222	213	743
223	214	741
224	214	739
225	215	737
226	216	736
227	216	734
228	217	732
229	218	730
230	218	728
231	219	726
232	220	724
233	220	722
234	221	721
235	222	719
236	222	717
237	223	715
238	224	714
239	224	712
240	225	710
241	226	708
242	226	707
243	227	705
244	228	703
245	229	701
246	229	700
247	230	698
248	231	696
249	231	695
250	232	693
251	233	692
252	233	690
253	234	688
254	235	687
255	235	685
256	236	684
257	237	682
258	238	681
259	241	686
260	241	685
261	242	683
262	243	681
263	245	683
264	246	682
265	246	680
266	247	679
267	248	677
268	250	681
269	251	680
270	252	678
271	252	676
272	253	675
273	255	676
274	256	675
275	256	673
276	257	671
277	258	670
278	258	668
279	259	667
280	260	665
281	260	664
282	261	662
283	262	660
284	262	659
285	263	657
286	264	656
287	264	654
288	265	653
289	266	651
290	266	650
291	267	648
292	268	647
293	269	646
294	269	644
295	270	643
296	271	642
297	272	641
298	273	640
299	273	639
300	274	637
301	275	636
302	275	634
303	276	633
304	277	631
305	278	630
306	278	629
307	279	627
308	280	626
309	280	624
310	281	623
311	282	621
312	282	620
313	283	619
314	284	617
315	284	616
316	285	615
317	286	614
318	287	612
319	287	611
320	288	609
321	289	608
322	289	607
323	290	605
324	291	604
325	291	603
326	292	602
327	293	600
328	293	599
329	294	598
330	295	596
331	296	595
332	296	594
333	297	593
334	298	591
335	298	590
336	299	589
337	300	587
338	300	586
339	301	585
340	302	584
341	302	582
342	303	581
343	304	580
344	304	578
345	305	577
346	306	576
347	307	575
348	307	574
349	308	572
350	309	571
351	309	570
352	310	569
353	311	567
354	311	566
355	312	565
356	313	564
357	313	563
358	314	561
359	315	560
360	315	559
361	316	558
362	317	556
363	317	555
364	318	553
365	319	552
366	319	551
367	320	550
368	321	549
369	321	547
370	322	546
371	323	545
372	323	544
373	324	543
374	325	541
375	325	540
376	326	539
377	327	538
378	327	537
379	328	536
380	329	535
381	329	533
382	330	532
383	331	531
384	332	530
385	332	529
386	333	528
387	334	526
388	334	525
389	335	524
390	336	523
391	336	522
392	337	521
393	337	519
394	338	518
395	339	517
396	340	516
397	340	515
398	341	514
399	342	513
400	342	512
401	343	510
402	344	509
403	344	508
404	345	507
405	346	506
406	346	505
407	347	504
408	348	503
409	348	502
410	349	500
411	350	499
412	350	498
413	351	497
414	352	496
415	352	495
416	353	494
417	354	493
418	354	492
419	355	491
420	356	489
421	356	488
422	357	487
423	358	486
424	359	485
425	359	484
426	360	483
427	361	482
428	361	481
429	362	480
430	363	479
431	364	478
432	364	477
433	365	476
434	366	475
435	366	474
436	367	473
437	368	472
438	369	471
439	369	470
440	370	469
441	371	468
442	371	467
443	372	466
444	373	465
445	373	464
446	374	463
447	375	462
448	375	461
449	376	460
450	377	459
451	378	458
452	378	457
453	379	456
454	380	455
455	380	454
456	381	453
457	382	452
458	382	451
459	383	450
460	384	449
461	384	448
462	385	447
463	386	446
464	386	445
465	387	444
466	388	442
467	388	442
468	389	440
469	390	439
470	390	438
471	391	437
472	392	436
473	392	435
474	393	434
475	394	433
476	394	432
477	395	431
478	396	430
479	396	429
480	397	428
481	398	428
482	398	427
483	399	426
484	400	425
485	400	424
486	401	423
487	402	422
488	402	421
489	403	420
490	404	419
491	405	418
492	405	417
493	406	416
494	407	415
495	407	414
496	408	413
497	409	412
498	409	411
499	410	410
500	411	409
501	411	408
502	412	407
503	413	406
504	414	405
505	414	404
506	415	403
507	416	403
508	417	403
509	418	402
510	419	401
511	419	400
512	420	399
513	421	398
514	422	397
515	422	396
516	423	395
517	424	394
518	424	393
519	425	392
520	426	391
521	426	390
522	427	389
523	428	389
524	429	388
525	429	387
526	430	386
527	431	385
528	432	384
529	432	383
530	434	383
531	435	383
532	436	382
533	436	381
534	437	380
535	438	379
536	438	378
537	439	377
538	440	376
539	440	375
540	441	374
541	442	373
542	442	372
543	443	371
544	444	371
545	445	370
546	445	369
547	447	369
548	448	368
549	448	367
550	449	366
551	450	365
552	450	364
553	451	363
554	452	362
555	452	361
556	453	360
557	454	359
558	454	358
559	455	357
560	456	356
561	456	356
562	457	355
563	458	354
564	458	353
565	459	352
566	460	351
567	460	350
568	461	349
569	462	348
570	462	347
571	463	346
572	464	345
573	464	345
574	465	344
575	466	343
576	466	342
577	467	341
578	468	340
579	469	339
580	470	339
581	471	338
582	471	337
583	472	336
584	473	335
585	473	334
586	474	333
587	475	332
588	476	332
589	477	331
590	477	330
591	478	329
592	479	328
593	479	328
594	480	327
595	481	326
596	481	325
597	482	324
598	484	324
599	485	323
600	485	322
601	486	321
602	487	320
603	487	319
604	488	319
605	489	318
606	489	317
607	490	316
608	491	315
609	492	314
610	492	313
611	493	312
612	494	311
613	494	311
614	495	310
615	496	309
616	496	308
617	497	307
618	498	306
619	498	305
620	499	304
621	500	304
622	501	303
623	501	302
624	502	301
625	503	300
626	503	299
627	504	298
628	505	298
629	505	297
630	506	296
631	507	295
632	508	294
633	509	294
634	510	293
635	510	292
636	511	291
637	512	290
638	512	289
639	513	288
640	514	287
641	514	287
642	515	286
643	516	285
644	516	284
645	517	283
646	518	282
647	518	281
648	519	281
649	520	280
650	521	279
651	521	278
652	522	277
653	523	276
654	523	275
655	524	275
656	525	274
657	525	273
658	526	272
659	527	271
660	527	270
661	528	269
662	529	268
663	529	268
664	530	267
665	531	266
666	531	265
667	532	264
668	533	263
669	533	262
670	534	262
671	535	261
672	535	260
673	536	259
674	537	258
675	537	257
676	538	256
677	539	256
678	540	255
679	540	254
680	541	253
681	542	252
682	542	251
683	543	251
684	544	250
685	544	249
686	545	248
687	546	247
688	546	246
689	547	246
690	548	245
691	548	244
692	549	243
693	550	242
694	550	241
695	551	240
696	552	240
697	552	239
698	553	238
699	554	237
700	555	236
701	555	235
702	556	235
703	556	234
704	557	233
705	558	232
706	559	231
707	559	230
708	560	230
709	561	229
710	561	228
711	562	227
712	563	226
713	563	225
714	564	225
715	565	224
716	565	223
717	566	222
718	567	221
719	568	220
720	568	220
721	569	219
722	570	218
723	570	217
724	571	216
725	572	215
726	572	215
727	573	214
728	574	213
729	575	212
730	576	212
731	576	211
732	578	210
733	579	209
734	579	209
735	581	208
736	582	207
737	583	207
738	584	206
739	584	205
740	585	204
741	586	203
742	586	202
743	587	202
744	588	201
745	588	200
746	589	199
747	590	198
748	591	198
749	591	197
750	592	196
751	593	195
752	593	194
753	594	194
754	595	193
755	596	192
756	596	191
757	597	190
758	598	189
759	598	189
760	599	188
761	600	187
762	601	186
763	602	185
764	602	185
765	603	184
766	604	183
767	604	182
768	605	181
769	606	181
770	607	180
771	607	179
772	608	178
773	609	177
774	609	177
775	610	176
776	611	175
777	612	174
778	612	173
779	613	173
780	614	172
781	614	171
782	615	170
783	616	169
784	617	169
785	617	168
786	618	167
787	619	166
788	619	165
789	620	164
790	621	164
791	622	163
792	622	162
793	623	161
794	624	160
795	624	160
796	625	159
797	626	158
798	626	157
799	627	156
800	628	156
801	629	155
802	629	154
803	630	153
804	631	152
805	632	152
806	632	151
807	633	150
808	634	149
809	634	148
810	635	148
811	636	147
812	636	146
813	637	145
814	638	144
815	639	144
816	639	143
817	640	142
818	641	141
819	642	140
820	642	140
821	643	139
822	644	138
823	645	137
824	645	136
825	646	136
826	647	135
827	647	134
828	648	133
829	649	133
830	650	132
831	650	131
832	651	130
833	652	129
834	653	129
835	653	128
836	654	127
837	655	126
838	656	125
839	656	125
840	657	124
841	658	123
842	659	122
843	659	121
844	660	121
845	661	120
846	662	119
847	662	118
848	663	118
849	664	117
850	665	116
851	665	115
852	666	114
853	667	114
854	668	113
855	668	112
856	669	111
857	670	110
858	671	110
859	671	109
860	672	108
861	673	107
862	673	106
863	674	106
864	675	105
865	676	104
866	676	103
867	677	103
868	678	102
869	678	101
870	679	100
871	680	99
872	681	99
873	681	98
874	682	97
875	683	96
876	683	95
877	684	95
878	685	94
879	686	93
880	686	92
881	687	91
882	688	91
883	688	90
884	689	89
885	690	88
886	691	88
887	691	87
888	692	86
889	693	85
890	694	84
891	694	84
892	695	83
893	696	82
894	696	81
895	697	81
896	698	80
897	699	79
898	700	78
899	700	77
900	701	77
901	702	76
902	703	75
903	703	74
904	704	73
905	705	73
906	706	72
907	706	71
908	708	70
909	708	70
910	709	69
911	710	68
912	711	67
913	712	67
914	712	66
915	713	65
916	714	64
917	715	63
918	715	63
919	716	62
920	717	61
921	717	60
922	718	59
923	719	59
924	719	58
925	720	57
926	721	56
927	722	56
928	722	55
929	723	54
930	724	53
931	725	52
932	726	52
933	726	51
934	727	50
935	728	49
936	729	49
937	730	48
938	731	47
939	731	46
940	732	45
941	733	45
942	734	44
943	735	43
944	735	42
945	736	42
946	737	41
947	737	40
948	738	39
949	739	38
950	739	38
951	740	37
952	741	36
953	741	35
954	742	34
955	743	34
956	744	33
957	744	32
958	745	31
959	746	31
960	747	30
961	747	29
962	748	28
963	749	27
964	749	27
965	750	26
966	751	25
967	751	24
968	752	24
969	753	23
970	753	22
971	754	21
972	755	20
973	755	20
974	756	19
975	757	18
976	758	17
977	759	17
978	759	16
979	760	15
980	761	14
981	762	13
982	763	13
983	763	12
984	764	11
985	765	10
986	766	10
987	766	9
988	767	8
989	768	7
990	769	6
991	769	6
992	770	5
993	770	4
994	771	3
995	772	3
996	772	2
997	773	1
998	774	0
999	775	0
